Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,Status
10,4.7,158,6,0,0.03,4,228,0.6946,1.5,1.05,1
582.3,4.7,473,5.5,0,0.041,4,228,0.6946,1.5,0.87,1
33,4.7,149,5.8,0,0.071,4,228,0.6946,1.5,0.98,1
33,4.7,169,5.8,1,0,4,228,0.6946,1.5,1.32,1
33,4.7,116,5.6,0,0.045,4,228,0.6946,1.5,0.91,1
33,4.7,377,6.1,0,0,4,228,0.6946,1.5,0.92,1
33,4.7,79,5.5,0,0,4,228,0.6946,1.5,1.05,1
33,4.7,160,5.5,0,0.035,4,228,0.6946,1.5,0.82,1
10,4.7,202,5.6,0,0,4,228,0.6946,1.5,1.03,0
33,4.7,386,5.8,0,0.071,4,228,0.6946,1.5,1.24,0
1,4.7,255,6.1,0,0,4,228,0.6946,1.5,1.24,0
33,4.7,305,6.2,0,0,4,228,0.6946,1.5,1.51,0
10,4.7,298,5.5,0,0,4,228,0.6946,1.5,1.12,0
33,4.7,113,6.4,0,0,4,228,0.6946,1.5,1.3,0
61.7,4.7,382,5.6,0,0,4,228,0.6946,1.5,1,0
36,4.7,364,6.4,1,0,4,228,0.6946,1.5,1.14,0
183.4,4.7,131,7.2,0,0.08,4,228,0.6946,1.5,1.25,0
10,4.7,406,5.5,0,0,4,228,0.6946,1.5,0.92,0
33,4.7,79,6.5,1,0,4,228,0.6946,1.5,1.03,0
453.2,4.7,405,5.7,0,0,4,228,0.6946,1.5,0.92,0
535,4.7,211,6.2,0,0.06,4,228,0.6946,1.5,0.91,0
33,4.7,178,5.5,0,0.073,4,228,0.6946,1.5,1.39,0
33,4.7,153,5.5,0,0,4,228,0.6946,1.5,1.09,0
33,4.7,351,5.9,0,0,4,228,0.6946,1.5,1.03,0
72.4,2.2,207,5.8,0,0,4,228,0.6946,1.5,0.91,0
632.8,2.2,70,6,0,0,4,228,0.6946,1.5,1,0
33,2.2,213,5.9,0,0,4,228,0.6946,1.5,0.91,0
39.5,2.2,55,5.7,0,0.046,4,228,0.6946,1.5,1.02,0
33,2.2,282,5.8,0,0,4,228,0.6946,1.5,1.08,0
33,2.2,260,5.6,0,0.106,4,228,0.6946,1.5,0.85,0
33,2.2,169,5.8,0,0.089,4,228,0.6946,1.5,0.84,0
33,2.2,201,5.5,0,0,4,228,0.6946,1.5,1.07,0
206.9,2.2,182,6,1,0.068,4,228,0.6946,1.5,0.91,0
33,2.2,273,5.8,1,0.035,4,228,0.6946,1.5,1.01,0
33,2.2,355,5.5,0,0,4,228,0.6946,1.5,1.07,0
220.8,2.2,273,5.8,1,0,4,228,0.6946,1.5,1,0
10,2.2,95,6.1,0,0.035,4,228,0.6946,1.5,1.01,0
33,2.2,388,5.7,0,0,4,228,0.6946,1.5,1.23,0
10,2.2,566,5.8,0,0.063,4,228,0.6946,1.5,0.97,0
10,2.2,267,5.5,0,0,4,228,0.6946,1.5,1.18,0
46.8,2.2,333,5.8,0,0,4,228,0.6946,1.5,1.18,0
42.9,8.4,100,5.5,0,0.127,4,228,0.6946,1.5,1.08,0
