Latitude,Longitude,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,Status
-60.722,153.67,10,4.7,158,6,0,0.03,4,228,0.6946,1.5,1.05,1
-17.943,-178.476,582.3,4.7,473,5.5,0,0.041,4,228,0.6946,1.5,0.87,1
51.447,-175.558,33,4.7,149,5.8,0,0.071,4,228,0.6946,1.5,0.98,1
-20.771,-174.236,33,4.7,169,5.8,1,0,4,228,0.6946,1.5,1.32,1
-20.964,-174.097,33,4.7,116,5.6,0,0.045,4,228,0.6946,1.5,0.91,1
-11.371,165.378,33,4.7,377,6.1,0,0,4,228,0.6946,1.5,0.92,1
-11.462,165.413,33,4.7,79,5.5,0,0,4,228,0.6946,1.5,1.05,1
32.222,92.7,33,4.7,160,5.5,0,0.035,4,228,0.6946,1.5,0.82,1
-56.103,-58.442,10,4.7,202,5.6,0,0,4,228,0.6946,1.5,1.03,0
-9.195,109.592,33,4.7,386,5.8,0,0.071,4,228,0.6946,1.5,1.24,0
58.04,-136.87,1,4.7,255,6.1,0,0,4,228,0.6946,1.5,1.24,0
16.095,119.484,33,4.7,305,6.2,0,0,4,228,0.6946,1.5,1.51,0
-54.326,-55.126,10,4.7,298,5.5,0,0,4,228,0.6946,1.5,1.12,0
-9.805,159.811,33,4.7,113,6.4,0,0,4,228,0.6946,1.5,1.3,0
-6.746,105.646,61.7,4.7,382,5.6,0,0,4,228,0.6946,1.5,1,0
-23.169,-70.122,36,4.7,364,6.4,1,0,4,228,0.6946,1.5,1.14,0
-16.925,-174.248,183.4,4.7,131,7.2,0,0.08,4,228,0.6946,1.5,1.25,0
-2.476,140.35,10,4.7,406,5.5,0,0,4,228,0.6946,1.5,0.92,0
-18.823,174.37,33,4.7,79,6.5,1,0,4,228,0.6946,1.5,1.03,0
27.35,139.979,453.2,4.7,405,5.7,0,0,4,228,0.6946,1.5,0.92,0
-17.61,-178.742,535,4.7,211,6.2,0,0.06,4,228,0.6946,1.5,0.91,0
-15.285,-173.525,33,4.7,178,5.5,0,0.073,4,228,0.6946,1.5,1.39,0
25.591,101.164,33,4.7,153,5.5,0,0,4,228,0.6946,1.5,1.09,0
25.607,101.063,33,4.7,351,5.9,0,0,4,228,0.6946,1.5,1.03,0
-6.345,148.43,72.4,2.2,207,5.8,0,0,4,228,0.6946,1.5,0.91,0
-21.216,-179.255,632.8,2.2,70,6,0,0,4,228,0.6946,1.5,1,0
-30.238,-178.133,33,2.2,213,5.9,0,0,4,228,0.6946,1.5,0.91,0
-11.656,166.317,39.5,2.2,55,5.7,0,0.046,4,228,0.6946,1.5,1.02,0
-11.593,166.301,33,2.2,282,5.8,0,0,4,228,0.6946,1.5,1.08,0
6.785,-71.971,33,2.2,260,5.6,0,0.106,4,228,0.6946,1.5,0.85,0
-14.512,-177.596,33,2.2,169,5.8,0,0.089,4,228,0.6946,1.5,0.84,0
-14.319,-177.675,33,2.2,201,5.5,0,0,4,228,0.6946,1.5,1.07,0
36.372,70.379,206.9,2.2,182,6,1,0.068,4,228,0.6946,1.5,0.91,0
-28.227,-176.563,33,2.2,273,5.8,1,0.035,4,228,0.6946,1.5,1.01,0
-6.261,147.555,33,2.2,355,5.5,0,0,4,228,0.6946,1.5,1.07,0
56.618,-161.869,220.8,2.2,273,5.8,1,0,4,228,0.6946,1.5,1,0
43.649,-127.257,10,2.2,95,6.1,0,0.035,4,228,0.6946,1.5,1.01,0
13.147,125.755,33,2.2,388,5.7,0,0,4,228,0.6946,1.5,1.23,0
-59.287,-17.224,10,2.2,566,5.8,0,0.063,4,228,0.6946,1.5,0.97,0
-17.657,66.857,10,2.2,267,5.5,0,0,4,228,0.6946,1.5,1.18,0
-7.967,120.613,46.8,2.2,333,5.8,0,0,4,228,0.6946,1.5,1.18,0
30.239,130.768,42.9,8.4,100,5.5,0,0.127,4,228,0.6946,1.5,1.08,0
-7.973,120.646,46.3,8.4,571,5.6,0,0.075,4,228,0.6946,1.5,1.32,0
57.527,-149.111,10,8.4,331,5.5,0,0.093,4,228,0.6946,1.5,0.79,0
-17.513,-176.731,33,8.4,661,5.8,0,0,4,228,0.6946,1.5,1.12,0
-17.207,-177.226,33,8.4,320,5.5,0,0,4,228,0.6946,1.5,1.04,0
-17.272,-174.002,33,8.4,61,6.3,1,0.032,4,228,0.6946,1.5,1.06,0
